STATION,DATETIME,DIFFUSE MJ/m^2,GLOBAL MJ/m^2,YEAR,MONTH,HOUR,HOUR_SIN,HOUR_COS,MONTH_SIN,MONTH_COS,DIRECT MJ/m^2
Kolkata,1993-02-15 08:00:00,0.37,0.52,1993,2,8,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0.15000000000000002
Kolkata,1993-02-15 09:00:00,0.64,1.19,1993,2,9,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0.5499999999999999
Kolkata,1993-02-15 10:00:00,0.84,1.82,1993,2,10,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0.9800000000000001
Kolkata,1993-02-15 11:00:00,0.94,2.27,1993,2,11,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,1.33
Kolkata,1993-02-15 12:00:00,0.95,2.43,1993,2,12,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,1.4800000000000002
Kolkata,1993-02-15 13:00:00,0.95,2.35,1993,2,13,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,1.4000000000000001
Kolkata,1993-02-15 14:00:00,0.89,2.13,1993,2,14,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,1.2399999999999998
Kolkata,1993-02-15 15:00:00,0.78,1.76,1993,2,15,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,0.98
Kolkata,1993-02-15 16:00:00,0.6,1.12,1993,2,16,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0.5200000000000001
Kolkata,1993-02-15 17:00:00,0.34,0.48,1993,2,17,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.13999999999999996
Kolkata,1993-02-15 18:00:00,0.04,0.06,1993,2,18,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.019999999999999997
Kolkata,1993-02-15 19:00:00,0.0,0.0,1993,2,19,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0.0
Kolkata,1993-02-15 20:00:00,0.0,0.0,1993,2,20,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0
Kolkata,1993-03-15 05:00:00,0.0,0.0,1993,3,5,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,0.0
Kolkata,1993-03-15 06:00:00,0.0,0.0,1993,3,6,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.0
Kolkata,1993-03-15 07:00:00,0.16,0.19,1993,3,7,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,0.03
Kolkata,1993-03-15 08:00:00,0.48,0.78,1993,3,8,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0.30000000000000004
Kolkata,1993-03-15 09:00:00,0.72,1.51,1993,3,9,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,0.79
